time,faces_left_faces_right,words_left_words_right,faces_left_words_left,faces_right_words_right,faces_right_words_left,faces_left_words_right
0,7,5,17,5,10,12
1,7,5,17,5,10,12
2,7,5,17,5,10,12
3,7,5,17,5,10,12
4,7,5,17,5,10,12
5,7,5,17,5,10,12
6,7,5,17,5,10,12
7,7,5,17,5,10,12
8,7,5,17,5,10,12
9,7,5,17,5,10,12
10,7,5,17,5,10,12
11,7,5,17,5,10,12
12,7,5,17,5,10,12
13,7,5,17,5,10,12
14,7,5,17,5,10,12
15,7,5,17,5,10,12
16,7,5,17,5,10,12
17,7,5,17,5,10,12
18,7,5,17,5,10,12
19,7,5,17,5,10,12
20,7,5,17,5,10,12
21,7,5,17,5,10,12
22,7,5,17,5,10,12
23,7,5,17,5,10,12
24,7,5,17,5,10,12
25,7,5,17,5,10,12
26,7,5,17,5,10,12
27,7,5,17,5,10,12
28,7,5,17,5,10,12
29,7,5,17,5,10,12
30,7,5,17,5,10,12
31,7,5,17,5,10,12
32,7,5,17,5,10,12
33,7,5,17,5,10,12
34,7,5,17,5,10,12
35,7,7,19,5,12,12
36,7,7,19,5,12,12
37,7,5,19,7,12,14
38,7,5,19,7,12,14
39,7,5,19,7,12,14
40,7,5,19,7,12,14
41,7,5,19,7,12,14
42,7,5,19,7,12,14
43,7,5,19,7,12,14
44,7,5,19,7,12,14
45,7,5,19,7,12,14
46,7,5,19,7,12,14
47,7,5,19,7,12,14
48,7,5,19,7,12,14
49,7,5,19,7,12,14
50,7,5,19,7,12,14
51,7,5,19,7,12,14
52,7,5,19,7,12,14
53,5,5,17,7,12,12
54,5,5,17,7,12,12
55,5,5,17,7,12,12
56,3,5,17,9,14,12
57,3,5,17,9,14,12
58,3,5,17,9,14,12
59,3,5,17,9,14,12
60,3,5,17,9,14,12
61,3,5,17,9,14,12
62,3,5,17,9,14,12
63,3,5,17,9,14,12
64,3,5,17,9,14,12
65,3,5,17,9,14,12
66,5,5,17,7,12,12
67,5,5,17,7,12,12
68,2,5,14,7,12,9
69,2,5,14,7,12,9
70,2,5,14,7,12,9
71,2,5,14,7,12,9
72,2,5,14,7,12,9
73,2,5,14,7,12,9
74,2,5,14,7,12,9
75,2,5,14,7,12,9
76,3,5,12,4,9,7
77,3,5,12,4,9,7
78,3,5,12,4,9,7
79,3,5,12,4,9,7
80,3,5,12,4,9,7
81,3,5,12,4,9,7
82,2,2,9,5,7,7
83,2,2,9,5,7,7
84,2,4,11,5,9,7
85,2,4,11,5,9,7
86,2,2,11,7,9,9
87,2,2,11,7,9,9
88,0,2,9,7,9,7
89,0,2,9,7,9,7
90,2,0,9,7,7,9
91,2,1,10,7,8,9
92,2,1,10,7,8,9
93,2,1,10,7,8,9
94,2,0,10,8,8,10
95,0,0,8,8,8,8
96,0,0,8,8,8,8
97,0,2,10,8,10,8
98,0,2,10,8,10,8
99,3,0,10,7,7,10
100,3,0,10,7,7,10
101,3,0,10,7,7,10
102,0,0,7,7,7,7
103,0,0,7,7,7,7
104,0,0,7,7,7,7
105,0,0,7,7,7,7
106,2,0,7,5,5,7
107,2,0,7,5,5,7
108,2,0,7,5,5,7
109,2,0,7,5,5,7
110,2,0,7,5,5,7
111,2,2,5,5,3,7
112,0,0,3,3,3,3
113,0,0,3,3,3,3
114,0,0,3,3,3,3
115,2,0,3,1,1,3
116,2,0,2,0,0,2
117,2,0,2,0,0,2
118,2,0,2,0,0,2
119,2,2,2,2,0,0
120,2,0,0,2,2,0
121,2,0,0,2,2,0
122,2,0,2,4,4,2
123,4,0,0,4,4,0
124,4,3,0,7,4,3
125,2,0,3,5,5,3
126,2,2,3,7,5,5
127,2,0,5,7,7,5
128,2,2,5,9,7,7
129,5,0,4,9,9,4
130,5,3,4,12,9,7
131,3,0,7,10,10,7
132,3,2,7,12,10,9
133,5,0,7,12,12,7
134,2,3,7,12,9,10
135,2,2,10,14,12,12
136,4,2,8,14,12,10
137,2,2,10,14,12,12
138,2,3,12,17,14,15
139,5,3,9,17,14,12
140,3,2,12,17,15,14
141,5,5,10,20,15,15
142,2,3,12,17,14,15
143,5,2,12,19,17,14
144,3,4,12,19,15,16
145,5,5,12,22,17,17
146,2,3,14,19,16,17
147,4,7,12,23,16,19
148,2,9,15,26,17,24
149,5,5,16,26,21,21
150,3,12,16,31,19,28
151,2,19,19,40,21,38
152,5,12,23,40,28,35
153,3,0,23,26,26,23
154,5,19,33,19,38,14
155,2,12,21,11,23,9
156,2,12,19,9,21,7
157,5,9,9,5,14,0
158,3,7,4,0,7,3
159,7,7,0,0,7,7
160,9,5,9,5,0,14
161,5,5,9,9,4,14
162,12,4,19,11,7,23
163,7,7,19,19,12,26
164,12,5,33,26,21,38
165,0,5,23,28,23,28
166,12,5,23,40,35,28
167,7,5,19,31,26,24
168,12,5,14,31,26,19
169,5,5,16,26,21,21
170,9,5,12,26,21,17
171,4,2,15,21,19,17
172,3,4,12,19,15,16
173,3,2,14,19,17,16
174,2,5,12,19,14,17
175,4,5,10,19,14,15
176,2,3,12,17,14,15
177,3,5,9,17,12,14
178,3,2,12,17,15,14
179,2,2,10,14,12,12
180,2,2,10,14,12,12
181,0,3,12,15,12,15
182,3,3,9,15,12,12
183,0,3,9,12,9,12
184,2,0,10,12,12,10
185,0,2,10,12,10,12
186,2,2,8,12,10,10
187,2,0,10,12,12,10
188,0,0,10,10,10,10
189,3,0,7,10,10,7
190,0,0,7,7,7,7
191,0,2,7,9,7,9
192,2,0,7,9,9,7
193,0,0,7,7,7,7
194,0,0,7,7,7,7
195,3,0,4,7,7,4
196,0,0,4,4,4,4
197,0,0,4,4,4,4
198,0,0,4,4,4,4
199,2,0,4,2,2,4
200,0,0,2,2,2,2
201,0,0,2,2,2,2
202,0,0,2,2,2,2
203,2,0,2,0,0,2
204,2,0,2,0,0,2
205,0,0,0,0,0,0
206,0,0,0,0,0,0
207,3,0,0,3,3,0
208,3,0,0,3,3,0
209,3,0,0,3,3,0
210,3,0,0,3,3,0
211,0,0,3,3,3,3
212,2,0,3,5,5,3
213,2,0,3,5,5,3
214,2,0,3,5,5,3
215,2,0,3,5,5,3
216,2,2,5,5,7,3
217,2,2,5,5,7,3
218,2,2,7,7,9,5
219,2,2,7,7,9,5
220,2,2,7,7,9,5
221,2,2,7,7,9,5
222,2,2,7,7,9,5
223,2,2,7,7,9,5
224,0,2,9,7,9,7
225,0,2,9,7,9,7
226,1,2,9,8,10,7
227,1,2,9,8,10,7
228,1,2,9,8,10,7
229,1,2,9,8,10,7
230,1,2,9,8,10,7
231,0,2,10,8,10,8
232,0,2,10,8,10,8
233,0,2,10,8,10,8
234,0,2,10,8,10,8
235,0,5,10,5,10,5
236,0,5,10,5,10,5
237,0,5,10,5,10,5
238,0,5,10,5,10,5
239,2,5,10,7,12,5
240,0,5,12,7,12,7
241,0,5,12,7,12,7
242,0,5,12,7,12,7
243,0,5,12,7,12,7
244,0,5,12,7,12,7
245,0,3,10,7,10,7
246,0,3,10,7,10,7
247,0,3,10,7,10,7
248,0,3,10,7,10,7
249,0,3,10,7,10,7
250,0,3,10,7,10,7
251,0,3,10,7,10,7
252,0,3,10,7,10,7
253,0,3,10,7,10,7
254,0,3,10,7,10,7
255,0,5,10,5,10,5
256,0,5,10,5,10,5
257,0,5,10,5,10,5
258,0,5,10,5,10,5
259,0,5,10,5,10,5
260,0,5,10,5,10,5
261,0,5,10,5,10,5
262,0,5,10,5,10,5
263,0,5,10,5,10,5
264,0,2,7,5,7,5
265,0,2,7,5,7,5
266,0,2,7,5,7,5
267,0,2,7,5,7,5
268,0,2,7,5,7,5
269,0,4,7,3,7,3
270,0,4,7,3,7,3
271,0,4,7,3,7,3
272,0,4,7,3,7,3
273,0,4,7,3,7,3
274,0,4,7,3,7,3
275,0,4,7,3,7,3
276,0,4,7,3,7,3
277,0,4,7,3,7,3
278,0,4,7,3,7,3
279,0,2,5,3,5,3
280,0,2,5,3,5,3
281,0,2,5,3,5,3
282,0,2,5,3,5,3
283,0,2,5,3,5,3
284,0,2,5,3,5,3
285,0,3,5,2,5,2
286,0,3,5,2,5,2
287,0,3,5,2,5,2
288,0,3,5,2,5,2
289,0,3,5,2,5,2
290,0,3,5,2,5,2
291,0,3,5,2,5,2
292,0,3,5,2,5,2
293,0,3,5,2,5,2
294,0,3,5,2,5,2
295,0,3,5,2,5,2
296,0,3,5,2,5,2
297,0,3,5,2,5,2
298,0,3,5,2,5,2
299,0,3,5,2,5,2
300,0,3,5,2,5,2
301,0,3,5,2,5,2
302,0,3,5,2,5,2
303,0,3,5,2,5,2
304,0,3,5,2,5,2
305,0,2,5,3,5,3
306,0,2,5,3,5,3
307,0,2,5,3,5,3
308,0,2,5,3,5,3
309,0,2,5,3,5,3
310,0,4,7,3,7,3
311,0,4,7,3,7,3
312,0,4,7,3,7,3
313,0,4,7,3,7,3
314,0,4,7,3,7,3
315,0,4,7,3,7,3
316,0,4,7,3,7,3
317,2,4,5,3,7,1
318,2,4,5,3,7,1
319,0,4,5,1,5,1
320,0,2,5,3,5,3
321,0,2,5,3,5,3
322,0,2,5,3,5,3
323,0,2,5,3,5,3
324,0,2,5,3,5,3
325,0,2,5,3,5,3
326,0,5,8,3,8,3
327,0,5,8,3,8,3
328,0,5,8,3,8,3
329,0,5,8,3,8,3
330,0,5,8,3,8,3
331,0,5,8,3,8,3
332,0,3,8,5,8,5
333,0,3,8,5,8,5
334,0,3,8,5,8,5
335,1,3,7,5,8,4
336,1,3,7,5,8,4
337,1,3,7,5,8,4
338,0,3,7,4,7,4
339,0,3,7,4,7,4
340,0,3,7,4,7,4
341,0,3,7,4,7,4
342,0,3,7,4,7,4
343,0,3,7,4,7,4
344,0,3,7,4,7,4
345,0,3,7,4,7,4
346,0,3,7,4,7,4
347,0,3,7,4,7,4
348,0,3,7,4,7,4
349,2,3,5,4,7,2
350,2,3,5,4,7,2
351,2,3,5,4,7,2
352,2,3,5,4,7,2
353,2,3,5,4,7,2
354,2,3,5,4,7,2
355,2,3,5,4,7,2
356,2,3,5,4,7,2
357,2,0,2,4,4,2
358,2,0,2,4,4,2
359,2,0,2,4,4,2
360,2,0,2,4,4,2
361,2,0,2,4,4,2
362,2,0,2,4,4,2
363,2,0,2,4,4,2
364,2,0,2,4,4,2
365,2,0,2,4,4,2
366,2,0,2,4,4,2
367,2,0,2,4,4,2
368,2,0,2,4,4,2
369,2,0,2,4,4,2
370,2,0,2,4,4,2
371,2,0,2,4,4,2
372,2,0,2,4,4,2
373,2,0,2,4,4,2
374,2,0,0,2,2,0
375,2,2,2,2,0,0
376,2,2,2,2,0,0
377,2,2,2,2,0,0
378,2,2,2,2,0,0
379,2,2,2,2,0,0
380,2,2,2,2,0,0
381,2,2,2,2,0,0
382,2,2,2,2,0,0
383,2,2,2,2,0,0
384,2,2,2,2,0,0
385,2,2,2,2,0,0
386,2,2,2,2,0,0
387,2,2,2,2,0,0
388,2,2,2,2,0,0
389,2,2,2,2,0,0
390,2,2,2,2,0,0
391,2,2,2,2,0,0
392,2,2,2,2,0,0
393,2,2,2,2,0,0
394,2,2,2,2,0,0
395,2,2,2,2,0,0
396,2,2,2,2,0,0
397,2,2,2,2,0,0
398,2,2,2,2,0,0
399,2,2,2,2,0,0
400,2,2,2,2,0,0
